NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
AG-DEDF01,2__DLOND001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-DEDF02,2__DLOND002,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
AG-DLIM01,2__DANGE001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-DSTK01,2__DSTAT001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-DSTK02,2__DSTAT002,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-DSTK03,2__DSTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-DSTK04,2__DSTAT004,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-DSTK05,2__DSTAT005,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-DSTK06,2__DSTAT006,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-DSTK07,2__DSTAT007,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-DUKP01,2__DUKPR001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-EEDF01,2__ELOND001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-EFLX01,2__EFLEX001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-EFLX02,2__EFLEX002,Primary BMU,OTHER,BATTERY,BMU,Generation,,,,
AG-EFLX03,2__EFLEX003,Additional Supplier BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-EFLX04,2__EFLEX004,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ELIM02,2__EANGE001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ELIM03,2__EANGE002,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-ERV01M,V__MEROV001,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ESTK01,2__ESTAT001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-ESTK02,2__ESTAT002,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ESTK03,2__ESTAT003,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ESTK04,2__ESTAT004,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-ESTK05,,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-EUKP01,2__EUKPR001,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
AG-EXE00E,,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FFLX01,2__FFLEX001,Additional Supplier BMU,OTHER,GAS,BMU,Generation,,,,
AG-FLIM01,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FLIM02,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FLX00L,V__LFLEX001,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FLX01P,V__PFLEX001,Secondary BMU,OTHER,NPSHYD,BMU,Generation,,,,
AG-FLX02N,V__NFLEX001,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FLX03B,,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FLX04E,,Primary BMU,OTHER,WIND,BMU,Demand,,,,
AG-FLX06M,V__MFLEX001,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-FLX09A,V__AFLEX002,Secondary BMU,OTHER,GAS,BMU,Generation,,,,
AG-FLX0AA,V__AFLEX003,Secondary BMU,OTHER,LOAD RESPONSE,BMU,Demand,,,,
AG-FLX0BH,V__HFLEX002,Secondary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
AG-FSTK01,2__FSTAT001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
AG-FSTK02,2__FSTAT002,Primary BMU,OTHER,GAS,BMU,Generation,,,,
