NESO BMU ID,SETT UNIT ID,CRM UNIT CAT,BMRS FUEL TYPE,REG FUEL TYPE,REG TYPE,DGB FLG,GC OC2,latitude,longitude,UK_REPD_ID
BEASC-1,T_BEASC-1,Primary BMU,OTHER,OTHER,BMU,Generation,YES,,,
BEATO-1,T_BEATO-1,Primary BMU,WIND,WIND,BMU,Generation,,58.13,-3.07,2521.0
BEATO-2,T_BEATO-2,Primary BMU,WIND,WIND,BMU,Generation,YES,58.13,-3.07,2521.0
BEATO-3,T_BEATO-3,Primary BMU,WIND,WIND,BMU,Generation,YES,58.13,-3.07,2521.0
BEATO-4,T_BEATO-4,Primary BMU,WIND,WIND,BMU,Generation,YES,58.13,-3.07,2521.0
BEINW-1,T_BEINW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,57.095605803530056,-4.96548104707889,3787.0
BFSE02,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
BHLAW-1,T_BHLAW-1,Primary BMU,WIND,WIND,BMU,Generation,,57.2456,-4.7158,4640.0
BHOLB-1,E_BHOLB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
BLARW-1,E_BLARW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.56825630920064,-5.643538921013159,4605.0
BLHLB-1,T_BLHLB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,57.518392768330465,-2.947526768212654,9723.0
BLHLB-2,T_BLHLB-2,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,57.518392768330465,-2.947526768212654,9723.0
BLHLB-3,T_BLHLB-3,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,57.518392768330465,-2.947526768212654,9723.0
BLHLB-4,T_BLHLB-4,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,57.518392768330465,-2.947526768212654,9723.0
BLHLD-1,T_BLHLD-1,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
BLHLD-2,T_BLHLD-2,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
BLHLD-3,T_BLHLD-3,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
BLKPB-1,E_BLKPB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
BLKWW-1,T_BLKWW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.11991239799602,-4.032118080700068,4032.0
BLLA-2,T_BLLA-2,Primary BMU,WIND,WIND,BMU,Generation,YES,55.7669,-3.73889,3116.0
BLPFB-1,T_BLPFB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
BLPFS-1,,Primary BMU,OTHER,SOLAR,BMU,Generation,,,,
BLWNB-1,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
BNWKW-1,E_BNWKW-1,Primary BMU,WIND,WIND,EELPS,Generation,,58.356758895490756,-3.203853736930414,4122.0
BOWLW-1,T_BOWLW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,53.9833,-3.28333,2546.0
BPGRD-1,,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
BPGRD-2,T_BPGRD-2,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
BRBEO-1,T_BRBEO-1,Primary BMU,WIND,WIND,BMU,Generation,,53.4833,-3.16667,2487.0
BRCHS-1,T_BRCHS-1,Primary BMU,OTHER,SOLAR,BMU,Generation,YES,,,
BRDUW-1,E_BRDUW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,56.2761,-4.0625,3119.0
BREDB-1,T_BREDB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
BRGDG-1,2__MCNDL001,Primary BMU,OCGT,OCGT,BMU,Generation,,53.540993,-0.508006,
BRGG-1,,Primary BMU,CCGT,GAS,BMU,Generation,,53.5406,-0.503635,
BRIDU-1,E_BRIDGWTR,Primary BMU,OTHER,GAS,BMU,Generation,,,,
BRNLW-1,E_BRNLW-1,Primary BMU,WIND,WIND,BMU,Generation,,56.83990929236933,-2.3791474319975396,4348.0
BROAB-1,E_BROAB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
BROCW-1,T_BROCW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.6165211,-3.8280487,
BROFB-1,E_BROFB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,52.074,1.05,
BROUD-1,E_BROUD-1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
BROXB-1,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
BRYBW-1,E_BRYBW-1,Primary BMU,WIND,WIND,BMU,Generation,,57.44661103297983,-3.4753925365795815,4261.0
BSPHM-1,E_BSPHM-1,Primary BMU,CCGT,CCGT,BMU,Generation,YES,,,
BTNHL-1,E_BTNHL-1,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
BTUIW-2,E_BTUIW-2,Primary BMU,WIND,WIND,BMU,Generation,,55.5714,-5.57611,3387.0
BTUIW-3,E_BTUIW-3,Primary BMU,WIND,WIND,BMU,Generation,YES,55.5714,-5.57611,3387.0
BURBW-1,E_BURBO,Primary BMU,WIND,WIND,BMU,Generation,YES,53.4833,-3.16667,2487.0
BURGH-1,E_BURGH-1,Primary BMU,OCGT,OCGT,BMU,Generation,YES,,,
BURWB-1,E_BURWB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
BURWS-1,T_BURWS-1,Primary BMU,OTHER,SOLAR,BMU,Generation,YES,52.283,0.302,7630.0
BUSTB-1,T_BUSTB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
BUXTB-1,2__GCMRO001,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
CAIRW-2,2__PSTAT001,Primary BMU,WIND,WIND,EELPS,Generation,,57.53,-3.36,3534.0
CAPNB-1,T_CAPNB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
CARR-1,T_CARR-1,Primary BMU,CCGT,CCGT,BMU,Generation,,53.4358,-2.41089,
CARR-2,T_CARR-2,Primary BMU,CCGT,CCGT,BMU,Generation,YES,53.4358,-2.41089,
CAS-BEU01,M_CAS-BEU01,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,57.325,-4.794,
CAS-CLU01,M_CAS-CLU01,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CAS-CON01,M_CAS-CON01,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,57.554,-4.598,
CAS-GAR01,M_CAS-GAR01,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CAS-KIL01,M_CAS-KIL01,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CAS-MOR01,M_CAS-MOR01,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CASH-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CASKD-1,T_CASKD-1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
CATHB-1,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
CAUSW-1,2__PSMAE001,Primary BMU,WIND,WIND,BMU,Generation,,58.443469800515864,-3.0854229022550945,3108.0
CDCL-1,T_CDCL-1,Primary BMU,CCGT,CCGT,BMU,Generation,YES,53.3062,-0.786,
CEAN-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CEAN-2,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
CGTHW-1,T_CGTHW-1,Primary BMU,WIND,WIND,BMU,Generation,,57.190084558112524,-4.359638023950258,4664.0
CHAPB-1,E_CHAPB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,51.9266,-0.4963,
CHICK-1,E_CHICK-1,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
CHTRY-1,E_CHTRY-1,Primary BMU,CCGT,CCGT,BMU,Generation,,,,
CLAC-1,E_CLAC-1,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,56.27745,-4.9218,
CLACD-1,T_CLACD-1,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
CLAYB-1,E_CLAYB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
CLAYB-2,E_CLAYB-2,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
CLDCW-1,T_CLDCW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.4672,-3.65444,4178.0
CLDNW-1,T_CLDNW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.4672,-3.65444,4178.0
CLDRW-1,E_CLDRW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,57.363336,-2.9640069,4623.0
CLDSW-1,T_CLDSW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.4672,-3.65444,4178.0
CLFLW-1,E_CLFLW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,56.28809278304757,-4.942889825389989,3448.0
CLUN-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CLUN-2,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
CLUN-3,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
CLVHS-1,T_CLVHS-1,Primary BMU,OTHER,SOLAR,BMU,Generation,,51.3344,0.9429,6502.0
CLVHS-2,T_CLVHS-2,Primary BMU,OTHER,SOLAR,BMU,Generation,YES,51.3344,0.9429,6502.0
CMSTW-1,2__PEDGE003,Primary BMU,WIND,WIND,EELPS,Generation,YES,58.40865076654011,-3.2715144469841952,4006.0
CNCLW-1,E_CNCLW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,57.76961921131165,-4.373160505979299,3846.0
CNCRW-1,,Primary BMU,WIND,WIND,BMU,Generation,YES,,,
CNQPS-1,T_CNQPS-1,Primary BMU,CCGT,GAS,BMU,Generation,,53.2322,-3.0813,
CNQPS-2,T_CNQPS-2,Primary BMU,CCGT,GAS,BMU,Generation,YES,53.2322,-3.0813,
CNQPS-3,T_CNQPS-3,Primary BMU,CCGT,GAS,BMU,Generation,YES,53.2322,-3.0813,
CNQPS-4,T_CNQPS-4,Primary BMU,CCGT,GAS,BMU,Generation,YES,53.2322,-3.0813,
CONTB-1,E_CONTB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,50.95526,-0.162756,
CORB-1,E_CORB-1,Primary BMU,CCGT,CCGT,BMU,Generation,,52.5109,-0.68139,
CORY-1,,Primary BMU,CCGT,CCGT,BMU,Generation,YES,,,
COSO-1,T_COSO-1,Primary BMU,CCGT,GAS,BMU,Generation,YES,51.512,0.508,
COTPS-1,,Primary BMU,COAL,COAL,BMU,Generation,YES,,,
COTPS-2,,Primary BMU,WIND,COAL,BMU,Generation,,,,
COTPS-4,,Primary BMU,WIND,COAL,BMU,Generation,,,,
COUWW-1,T_COUWW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.680679071938755,-5.484928577654593,3772.0
COVNB-1,T_COVNB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
COWB-1,T_COWB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,51.709925,-1.189058,
COWE1,E_COWE1,Primary BMU,OCGT,OCGT,BMU,Generation,,50.7459,-1.2864,
COWE2,E_COWE2,Primary BMU,OCGT,OCGT,BMU,Generation,YES,50.7459,-1.2864,
CRAGW-1,,Primary BMU,WIND,WIND,BMU,Generation,YES,,,
CRDEW-2,T_CRDEW-2,Primary BMU,WIND,WIND,BMU,Generation,,55.1761484100541,-3.1728699866762597,4633.0
CREAW-1,T_CREAW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,58.2193005628183,-4.511210384197758,4300.0
CRGHW-1,T_CRGHW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,56.339010418949655,-5.294537321952413,4619.0
CRGTW-1,E_CRGTW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,54.86847106642369,-5.087127283908616,4465.0
CRMLW-1,T_CRMLW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,57.66872565617344,-4.773018029760207,4120.0
CROYD-2,E_CROYD-2,Primary BMU,OCGT,OCGT,BMU,Generation,YES,51.37644,-0.11637,
CRSSB-1,E_CRSSB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
CRUA-1,T_CRUA-1,Primary BMU,PS,PS,BMU,Bi-Directional,,56.40638889,-5.11305556,6841.0
CRUA-2,T_CRUA-2,Primary BMU,PS,PS,BMU,Bi-Directional,YES,56.40638889,-5.11305556,6841.0
CRUA-3,T_CRUA-3,Primary BMU,PS,PS,BMU,Bi-Directional,YES,56.40638889,-5.11305556,6841.0
CRUA-4,T_CRUA-4,Primary BMU,PS,PS ,BMU,Bi-Directional,YES,56.40638889,-5.11305556,6841.0
CRUAD-1,T_CRUAD-1,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
CRYRW-2,T_CRYRW-2,Primary BMU,WIND,WIND,BMU,Generation,,55.9,-2.55,4215.0
CRYRW-3,T_CRYRW-3,Primary BMU,WIND,WIND,BMU,Generation,YES,55.9,-2.55,4215.0
CULL-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
CULL-2,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
CUMHW-1,T_CUMHW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.57184310955335,-3.958943965526721,5455.0
CUPAB-1,E_CUPAB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
CUXTB-1,,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,,,
CWMD-1,E_CWMD-1,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,53.0659,-4.0115,
DALQW-1,T_DALQW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.18060663369498,-4.909575510558889,4189.0
DALRD-1,T_DALRD-1,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
DALSW-1,E_DALSW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.184097127748174,-3.650562297931761,4520.0
DAMC-1,T_DAMC-1,Primary BMU,CCGT,GAS,BMU,Generation,YES,51.4254,0.6001,
DBAWO-1,T_DBAWO-1,Primary BMU,WIND,WIND,BMU,Generation,YES,54.7489,1.9301,
DBAWO-2,T_DBAWO-2,Primary BMU,WIND,WIND,BMU,Generation,YES,54.7489,1.9301,
DBAWO-3,T_DBAWO-3,Primary BMU,WIND,WIND,BMU,Generation,YES,54.7489,1.9301,
DBAWO-4,T_DBAWO-4,Primary BMU,WIND,WIND,BMU,Generation,YES,54.7489,1.9301,
DBAWO-5,T_DBAWO-5,Primary BMU,WIND,WIND,BMU,Generation,YES,54.7489,1.9301,
DBFRM-1,E_DBFRM-1,Primary BMU,CCGT,CCGT,BMU,Generation,YES,50.861673,-1.153879,
DDGNO-1,T_DDGNO-1,Primary BMU,WIND,WIND,BMU,Generation,,53.249,1.39,2538.0
DDGNO-2,T_DDGNO-2,Primary BMU,WIND,WIND,BMU,Generation,YES,53.249,1.39,2538.0
DDGNO-3,T_DDGNO-3,Primary BMU,WIND,WIND,BMU,Generation,YES,53.249,1.39,2538.0
DDGNO-4,T_DDGNO-4,Primary BMU,WIND,WIND,BMU,Generation,YES,53.249,1.39,2538.0
DEAN-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,YES,,,
DEAN-2,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
DEAND-1,T_DEAND-1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
DEEPS-1,,Primary BMU,CCGT,CCGT,BMU,Generation,,,,
DERBY-2,E_DERBY-1,Primary BMU,OCGT,OCGT,BMU,Generation,,,,
DERW-1,E_DERW-1,Primary BMU,CCGT,GAS,BMU,Generation,,52.9064,-1.4007,
DIDC01G,E_DIDC1G,Primary BMU,OCGT,OCGT,BMU,Generation,,51.6245,-1.2639,
DIDC02G,E_DIDC2G,Primary BMU,OCGT,OCGT,BMU,Generation,YES,51.6245,-1.2639,
DIDC03G,E_DIDC3G,Primary BMU,OCGT,OCGT,BMU,Generation,YES,51.6245,-1.2639,
DIDC04G,E_DIDC4G,Primary BMU,OCGT,OCGT,BMU,Generation,YES,51.6245,-1.2639,
DIDCB5,T_DIDCB5,Primary BMU,CCGT,GAS,BMU,Generation,YES,51.6254,-1.268,
DIDCB6,T_DIDCB6,Primary BMU,CCGT,GAS,BMU,Generation,YES,51.6254,-1.268,
DINO-1,T_DINO-1,Primary BMU,PS,PS,BMU,Bi-Directional,YES,53.117842582,-4.107341766,6839.0
DINO-2,T_DINO-2,Primary BMU,PS,PS,BMU,Bi-Directional,YES,53.117842582,-4.107341766,6839.0
DINO-3,T_DINO-3,Primary BMU,PS,PS,BMU,Bi-Directional,YES,53.117842582,-4.107341766,6839.0
DINO-4,T_DINO-4,Primary BMU,PS,PS,BMU,Bi-Directional,YES,53.117842582,-4.107341766,6839.0
DINO-5,T_DINO-5,Primary BMU,PS,PS,BMU,Bi-Directional,YES,53.117842582,-4.107341766,6839.0
DINO-6,T_DINO-6,Primary BMU,PS,PS,BMU,Bi-Directional,YES,53.117842582,-4.107341766,6839.0
DNBAR-1,2__NSMAE001,Primary BMU,BIOMASS,BIOMASS,EELPS,Generation,YES,,,
DNGB21,T_DNGB21,Primary BMU,NUCLEAR,NUCLEAR,BMU,Generation,YES,50.9134,0.95976,
DNGB22,T_DNGB22,Primary BMU,NUCLEAR,NUCLEAR,BMU,Generation,,50.9134,0.95976,
DNGBD-1,T_DNGB-D,Primary BMU,OTHER,OTHER,BMU,Demand,,50.9134,0.95976,
DNLWW-1,T_DNLWW-1,Primary BMU,WIND,WIND,BMU,Generation,,55.805307,-2.8512555,3579.0
DOLLB-1,E_DOLLB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,YES,51.59368448458416,0.5638333627174691,7088.0
DOREW-1,T_DOREW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,57.35089948926072,-3.131680915723891,4244.0
DOREW-2,T_DOREW-2,Primary BMU,WIND,WIND,BMU,Generation,YES,57.35089948926072,-3.131680915723891,4244.0
DOUGW-1,T_DOUGW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.58735750575258,-3.890103833051069,5393.0
DOWL-1,E_DOWL-1,Primary BMU,CCGT,CCGT,BMU,Generation,YES,,,
DRAXD-1,E__MDRX001,Primary BMU,BIOMASS,COAL,BMU,Demand,,,,
DRAXD-2,E__MDRX002,Primary BMU,OCGT,COAL,BMU,Demand,,53.7358,-0.996389,175.0
DRAXX-1,T_DRAXX-1,Primary BMU,BIOMASS,BIOMASS,BMU,Generation,,53.7358,-0.996389,175.0
DRAXX-10G,T_DRAXX-10G,Primary BMU,OCGT,OCGT,BMU,Generation,YES,,,
DRAXX-12G,T_DRAXX-12G,Primary BMU,OCGT,OCGT,BMU,Generation,YES,,,
DRAXX-2,T_DRAXX-2,Primary BMU,BIOMASS,BIOMASS,BMU,Generation,YES,53.7358,-0.996389,175.0
DRAXX-3,T_DRAXX-3,Primary BMU,BIOMASS,BIOMASS,BMU,Generation,YES,53.7358,-0.996389,175.0
DRAXX-4,T_DRAXX-4,Primary BMU,BIOMASS,BIOMASS,BMU,Generation,YES,53.7358,-0.996389,175.0
DRAXX-5,T_DRAXX-5,Primary BMU,BIOMASS,COAL,BMU,Generation,YES,53.7358,-0.996389,175.0
DRAXX-6,T_DRAXX-6,Primary BMU,BIOMASS,COAL,BMU,Generation,YES,53.7358,-0.996389,175.0
DRAXX-9G,T_DRAXX-9G,Primary BMU,OCGT,OCGT,BMU,Generation,YES,,,
DRSLW-1,T_DRSLW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,55.30425719972251,-4.488218013953557,4269.0
DUNGW-1,T_DUNGW-1,Primary BMU,WIND,WIND,BMU,Generation,YES,57.25148006944491,-4.255802337851775,4118.0
EAAO-1,T_EAAO-1,Primary BMU,WIND,WIND,BMU,Generation,YES,52.66,2.3,2524.0
EAAO-2,T_EAAO-2,Primary BMU,WIND,WIND,BMU,Generation,YES,52.66,2.3,2524.0
EAD-BRTN1,I_EAD-BRTN1,Primary BMU,INTBN,OTHER,BMU,Demand,YES,,,
EAD-ELEC1,I_EAD-ELEC1,Primary BMU,INTIRL,OTHER,BMU,Demand,,,,
EAD-EWIC1,I_EAD-EWIC1,Primary BMU,INTEW,OTHER,BMU,Demand,,,,
EAD-FRAN1,I_EAD-FRAN1,Primary BMU,INTFR,OTHER,BMU,Demand,,,,
EAD-IFA2,I_EAD-IFA2,Primary BMU,INTBN,OTHER,BMU,Demand,,,,
EAD-MOYL1,I_EAD-MOYL1,Primary BMU,INTIRL,OTHER,BMU,Demand,,,,
EAD-NSL1,I_EAD-NSL1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAD-VKL1,I_EAD-VKL1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAG-BRTN1,I_EAG-BRTN1,Primary BMU,INTBN,OTHER,BMU,Generation,,,,
EAG-ELEC1,I_EAG-ELEC1,Primary BMU,INTIRL,OTHER,BMU,Generation,,,,
EAG-EWIC1,I_EAG-EWIC1,Primary BMU,INTEW,OTHER,BMU,Generation,,,,
EAG-FRAN1,I_EAG-FRAN1,Primary BMU,INTFR,OTHER,BMU,Generation,,,,
EAG-IFA2,I_EAG-IFA2,Primary BMU,INTBN,OTHER,BMU,Generation,,,,
EAG-MOYL1,I_EAG-MOYL1,Primary BMU,INTIRL,OTHER,BMU,Generation,,,,
EAG-NSL1,I_EAG-NSL1,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
EAG-VKL1,I_EAG-VKL1,Primary BMU,OTHER,OTHER,BMU,Generation,,,,
EAS-ATL01,2__AIMPO000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-AXPO1,2__AAXPO000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-BGS01,2__ABGAS000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-BIZ01,2__ABIZZ000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-EDF01,2__AEDFE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-EDR01,2__AEDIR000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-ENR01,2__AENRD000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-EON01,2__AEOND000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-GDF01,2__ARWED000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-HPW01,2__AHPOW000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-HVN01,2__AHAVE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-LON01,2__ALOND000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-MID01,,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-MNW01,2__AMANW000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-MSG01,,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-NPE01,2__ANATP000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-OCT01,2__AMRCY000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-OGA01,2__AOGAS000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-PGE01,2__AEMEB000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-PGU01,2__APGEN000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-SEE01,2__ASEEB000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-SEL01,2__ASMAR000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-SPC01,2__ASPOW000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-SSE01,2__AHYDE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-STH01,2__ASOUT000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-SWA01,2__ASWAE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-SWT01,2__ASWEB000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EAS-TFE01,2__ATGPL000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EASTH-1,,Primary BMU,NPSHYD,NPSHYD,BMU,Generation,,,,
ECCFD-1,T_ECCFD-1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
ECEN01,2__ECNDL001,Primary BMU,OTHER,GAS,BMU,Generation,,,,
EDINW-1,T_EDINW-1,Primary BMU,WIND,WIND,BMU,Generation,,57.46912682028171,-6.432206098199517,4674.0
EECL-1,T_EECL-1,Primary BMU,CCGT,GAS,BMU,Generation,YES,51.6628,-0.0227778,
EGLSD-1,T_EGLSD-1,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
ELVAD-1,T_ELVAD-1,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-ATL01,2__BIMPO000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-AXPO1,2__BAXPO000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-BGS01,2__BBGAS000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-BIZ01,2__BBIZZ000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-EDF01,2__BEDFE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-EDR01,2__BEDIR000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-ENR01,2__BENRD000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-EON01,2__BEOND000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-GDF01,2__BRWED000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-HPW01,2__BHPOW000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-HVN01,2__BHAVE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-LON01,2__BLOND000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-MID01,,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-MNW01,2__BMANW000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-MSG01,,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-NPE01,2__BNATP000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-OCT01,2__BMRCY000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-OGA01,2__BOGAS000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-PGE01,2__BEMEB000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-PGU01,2__BPGEN000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-SEE01,2__BSEEB000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-SEL01,2__BSMAR000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-SPC01,2__BSPOW000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-SSE01,2__BHYDE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-STH01,2__BSOUT000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-SWA01,2__BSWAE000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-SWT01,2__BSWEB000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
EMD-TFE01,2__BTGPL000,Primary BMU,OTHER,OTHER,BMU,Demand,,,,
ENDRB-1,T_ENDRB-1,Primary BMU,OTHER,BATTERY,BMU,Bi-Directional,,,,
ENDSR-1,,Primary BMU,OTHER,OTHER,BMU,Demand,YES,,,
